subjid,community,screen,touchscreen,household,children,younger_children,clickscaledx,clickscaledy,targetx,targety,targetwidth,targetheight,targetcenterx,targetcentery,clickdistfromtargetcenterx,clickdistfromtargetcentery,clickdistfromtargetbboxy,trialnr,agent,trialtype,targetposition,eyeradius,eyecenterleftx,eyecenterlefty,pupilfinalleftx,pupilfinallefty,eyecenterrightx,eyecenterrighty,pupilfinalrightx,pupilfinalrighty,targetcentralityx,centralitybias,agecentered
H0000019,hai||om,1,0,6,3,1,794.66668701171875,136,847.2245832323182,233.34295654296875,160.00592041015625,213.34295654296875,927.2275434373963,126.67147827148438,-132.56085642567757,9.328521728515625,-0,12,female01,test,5,27.99,900.23,827.56,900.766172420862,813.6403225922768,1020.47,827.01,1018.6315942579434,813.2018442821736,32.77245656260368,-132.56085642567757,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,888,94.66668701171875,246.0890610985767,233.34295654296875,160.00592041015625,213.34295654296875,326.09202130365486,126.67147827148438,561.9079786963451,-32.004791259765625,-0,13,male04,test,2,27.99,900.67,844.52,891.9652347034877,833.6447086874568,1020.91,843.97,1011.218040124691,833.9644608453355,633.9079786963451,561.9079786963451,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,1046.6666259765625,138.66668701171875,1117.8164575151932,233.34295654296875,160.00592041015625,213.34295654296875,1197.8194177202713,126.67147827148438,-151.1527917437088,11.995208740234375,-0,14,male02,test,7,27.99,901.97,846.5,907.2654177439465,833.6157673524172,1022.21,845.94,1025.5139616617244,832.4074933091479,237.8194177202713,151.1527917437088,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,1021.3333129882812,160,1739.0470483653526,233.34295654296875,160.00592041015625,213.34295654296875,1819.0500085704307,126.67147827148438,-797.7166955821494,33.328521728515625,-0,15,male03,test,10,27.99,901.32,844.52,912.2921200949572,835.9376063582558,1021.56,843.97,1031.9169443626126,834.6544966067428,859.0500085704307,797.7166955821494,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,926.66668701171875,165.33331298828125,482.50179431110115,233.34295654296875,160.00592041015625,213.34295654296875,562.5047545161792,126.67147827148438,364.16193249553953,38.661834716796875,-0,16,female03,test,3,25.57,907.52,809.11,901.7764731282218,797.7493310464072,1017.35,808.6,1010.2862343504285,798.0096215909102,397.4952454838208,364.16193249553953,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,776,94.66668701171875,1583.035649429519,233.34295654296875,160.00592041015625,213.34295654296875,1663.0386096345972,126.67147827148438,-887.0386096345972,-32.004791259765625,-0,17,female01,test,9,27.99,900.23,827.56,910.4875162855013,818.1351254834484,1020.47,827.01,1029.8875548802732,816.745763054317,703.0386096345972,887.0386096345972,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,677.33331298828125,170.66668701171875,847.2245832323182,233.34295654296875,160.00592041015625,213.34295654296875,927.2275434373963,126.67147827148438,-249.89423044911507,43.995208740234375,-0,18,female04,test,5,25.16,910.28,808.3399999999999,910.5911742598877,795.8238675869943,1018.34,807.8399999999999,1016.6801196853069,795.4305198601587,32.77245656260368,-249.89423044911507,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,948,193.33331298828125,950.3974033060331,233.34295654296875,160.00592041015625,213.34295654296875,1030.4003635111112,126.67147827148438,-82.40036351111121,66.661834716796875,-0,19,male01,test,6,27.99,900.32,847.6800000000001,902.793244465703,833.9713180132885,1020.56,847.13,1020.7502447889908,833.2012991661177,70.40036351111121,82.40036351111121,1.0376454483230666
H0000020,hai||om,0,0,5,3,1,60,110.66668701171875,960.1732080386222,233.34295654296875,160.00592041015625,213.34295654296875,1040.1761682437004,126.67147827148438,-980.1761682437004,-16.004791259765625,-0,5,female01,test,6,27.99,900.23,827.56,902.9575585367587,813.8996440592227,1020.47,827.01,1020.8618081172359,813.0855112697318,80.17616824370043,980.1761682437004,4.35044490075291
H0000020,hai||om,0,0,5,3,1,50.66666793823242,84,1103.230532959552,233.34295654296875,160.00592041015625,213.34295654296875,1183.23349316463,126.67147827148438,-1132.5668252263977,-42.671478271484375,-0,6,male02,test,7,27.99,901.97,846.5,907.0396963550328,833.5252907983345,1022.21,845.94,1025.2531978716377,832.3464777664321,223.2334931646301,1132.5668252263977,4.35044490075291
