subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx,continent,older_children,click
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,2,6,1062.2490857615044,-1.3385463956035353,-129.24157843728565,Asia,1,129.24157843728565
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,3,3,498.8011887196793,0.07687065656716326,428.20631860453943,Asia,1,428.20631860453943
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,4,10,1768.0862248184249,1.4447233818911822,-476.5758488418623,Asia,1,476.5758488418623
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,5,5,886.3398698109584,-1.4512788824790352,42.16763751326039,Asia,1,42.16763751326039
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,6,8,1486.4678074867468,0.33424054332529474,-133.45682115862178,Asia,1,133.45682115862178
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,7,7,1201.8285572245643,-0.7881540983083187,-24.31903574018952,Asia,1,24.31903574018952
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,8,2,316.06515662560565,0.7974386845775525,1099.9463179837694,Asia,1,1099.9463179837694
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,9,1,174.69056256153573,1.3549095417923616,456.8145643915893,Asia,1,456.8145643915893
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,10,4,623.853874740664,-0.4162393575386185,-121.34981590277334,Asia,1,121.34981590277334
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,11,3,498.8011887196793,0.07687065656716326,-60.79764868061682,Asia,1,60.79764868061682
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,12,10,1768.0862248184249,1.4447233818911822,-1246.0820133926436,Asia,1,1246.0820133926436
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,13,6,1062.2490857615044,-1.3385463956035353,-198.24212775369188,Asia,1,198.24212775369188
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,14,2,316.06515662560565,0.7974386845775525,277.9396651517381,Asia,1,277.9396651517381
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,15,7,1201.8285572245643,-0.7881540983083187,-211.82056161909577,Asia,1,211.82056161909577
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,1,6,1046.989925587919,-1.3987165920851716,-221.9832727558878,Asia,1,221.9832727558878
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,2,8,1376.5181209008276,-0.09931505014841016,-413.5103694359839,Asia,1,413.5103694359839
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,3,1,129.22449927064005,1.5341921451819898,334.2792543914693,Asia,1,334.2792543914693
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,4,4,735.1039312159136,-0.8549225930876234,-24.098193911226076,Asia,1,24.098193911226076
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,5,9,1583.980465163284,0.7187542193794071,-274.46984504609645,Asia,1,274.46984504609645
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,6,5,957.6815687429088,-1.7325947604983296,41.32648789771633,Asia,1,41.32648789771633
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,7,2,322.651273296524,0.7714681901576733,592.3561119573823,Asia,1,592.3561119573823
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,8,7,1228.1235741864937,-0.6844671116662819,-220.1154565107124,Asia,1,220.1154565107124
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,9,3,442.510960368732,0.2988353034640358,535.4969131664243,Asia,1,535.4969131664243
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,10,4,735.1039312159136,-0.8549225930876234,109.40290472158642,Asia,1,109.40290472158642
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,11,8,1376.5181209008276,-0.09931505014841016,-143.50811113520265,Asia,1,143.50811113520265
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,12,7,1228.1235741864937,-0.6844671116662819,-65.61417477243117,Asia,1,65.61417477243117
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,13,2,322.651273296524,0.7714681901576733,140.8524803655854,Asia,1,140.8524803655854
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,14,6,1046.989925587919,-1.3987165920851716,-17.98162480666906,Asia,1,17.98162480666906
TUR00023,Malatya (Turkey),4,-0.669011837193374,f,1,1,4,2,0,15,1,129.22449927064005,1.5341921451819898,407.77983422545367,Asia,1,407.77983422545367
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,1,5,887.7442861687263,-1.4568168024711983,37.76316012033624,Asia,1,37.76316012033624
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,2,2,320.5818297613183,0.7796284573482968,-92.57998344784176,Asia,1,92.57998344784176
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,3,6,1023.8747149080848,-1.489864909063173,-68.3670244783973,Asia,1,68.3670244783973
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,4,3,570.2537960635049,-0.2048825575085121,-117.25013395412986,Asia,1,117.25013395412986
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,5,9,1517.3599773471174,0.4560551064531056,228.65418280913264,Asia,1,228.65418280913264
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,6,1,221.06977983483213,1.1720261730975652,56.43244794837099,Asia,1,56.43244794837099
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,7,10,1742.722001258891,1.3447067166343867,45.29240303798406,Asia,1,45.29240303798406
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,8,7,1242.0798587050815,-0.6294344380404606,145.4313717636685,Asia,1,145.4313717636685
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,9,8,1342.9634012536635,-0.2316286277692218,275.54966026977377,Asia,1,275.54966026977377
TUR00024,Malatya (Turkey),5,-0.006184709377614884,m,1,1,4,2,0,10,1,221.06977983483213,1.1720261730975652,-41.068330249871195,Asia,1,41.068330249871195
